Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,139,6,61000.0,54778.704390647144,2030.1885000008042,70192.5951000012,54.51798561151079,0.7779430411114858,0.03358027515589147,61000,63000,65000,65000,68000,69000,70000,70000,70000,70000,70000
GET,/cpu_fixed,127,10,60000.0,53537.891608661645,2024.543999999878,70859.89410000184,62.52755905511811,0.7107824907997028,0.055967125259819124,60000,63000,65000,66000,69000,70000,71000,71000,71000,71000,71000
,Aggregated,266,16,60000.0,54186.28625789469,2024.543999999878,70859.89410000184,58.3421052631579,1.4887255319111887,0.08954740041571059,60000,63000,65000,66000,68000,69000,70000,71000,71000,71000,71000
