Method,Endpoint,Total_Requests,Failures,Error_Rate_%,RPS,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Median_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
GET,/cpu_fixed,281,4,1.42,1.57,61537.7,2036.41,113328.5,61000.0,73000.0,112000.0,113000.0
GET,/cpu,292,6,2.05,1.63,39524.98,2036.52,83793.08,37000.0,59000.0,78000.0,83000.0
