Method,Endpoint,Total_Requests,Failures,Error_Rate_%,RPS,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Median_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
GET,/cpu,436,16,3.67,2.43,15371.95,1170.33,120029.86,11000.0,14000.0,67000.0,120000.0
GET,/cpu_fixed,374,16,4.28,2.08,22478.27,2148.88,120031.75,19000.0,27000.0,102000.0,120000.0
