Method,Endpoint,Total_Requests,Failures,Error_Rate_%,RPS,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Median_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
GET,/cpu,137,0,0.0,0.77,27906.35,418.72,34333.62,30000.0,33000.0,34000.0,34000.0
GET,/cpu_fixed,151,0,0.0,0.84,28040.58,2393.65,35045.33,30000.0,33000.0,34000.0,35000.0
