Method,Endpoint,Total_Requests,Failures,Error_Rate_%,RPS,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Median_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
GET,/cpu,436,0,0.0,2.44,7098.73,422.28,52026.25,6600.0,7800.0,8200.0,41000.0
GET,/cpu_fixed,444,0,0.0,2.48,11717.95,2560.01,60756.55,11000.0,14000.0,14000.0,37000.0
