Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,436,16,11000.0,15371.946262844021,1170.3312999961781,120029.85959999933,58.68119266055046,2.470826312263817,0.09067252522069054,11000,12000,12000,13000,14000,67000,120000,120000,120000,120000,120000
GET,/cpu_fixed,363,16,18000.0,22565.84979972438,2148.8792000018293,120031.75249999913,68.7465564738292,2.0571329159444165,0.09067252522069054,18000,20000,21000,22000,27000,102000,120000,120000,120000,120000,120000
,Aggregated,799,32,12000.0,18640.26539161446,1170.3312999961781,120031.75249999913,63.2540675844806,4.527959228208234,0.18134505044138108,12000,13000,19000,20000,24000,94000,120000,120000,120000,120000,120000
