Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,137,0,30000.0,27906.34858978083,418.7173999962397,34333.62019999913,56.941605839416056,0.7693615920707405,0.0,30000,30000,31000,32000,33000,34000,34000,34000,34000,34000,34000
GET,/cpu_fixed,150,0,30000.0,28036.721088666625,2393.6545999968075,35045.32630000176,67.81333333333333,0.8423667066467961,0.0,30000,31000,31000,32000,33000,34000,34000,35000,35000,35000,35000
,Aggregated,287,0,30000.0,27974.487526480698,418.7173999962397,35045.32630000176,62.62369337979094,1.6117282987175368,0.0,30000,31000,31000,32000,33000,34000,34000,34000,35000,35000,35000
