Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,3416,3316,2007.5813000003109,4134.372878512923,2007.5813000003109,87454.00869999867,1.6683255269320842,19.055352038057137,18.497525573242818,2000,2000,2000,2000,2000,2100,71000,77000,87000,87000,87000
GET,/cpu_fixed,3397,3303,2005.2370999983395,4031.893595142761,2005.2370999983395,86918.95220000151,1.8787165145716809,18.949365009742415,18.425008132816956,2000,2000,2000,2000,2000,2100,70000,77000,86000,87000,87000
,Aggregated,6813,6619,2005.2370999983395,4083.2761332306054,2005.2370999983395,87454.00869999867,1.7732276530162925,38.00471704779955,36.922533706059774,2000,2000,2000,2000,2000,2100,70000,77000,86000,87000,87000
