Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,335,0,21000.0,21002.861273432645,5010.158600001887,39074.89389999682,55.92238805970149,1.8661619796567375,0.0,21000,23000,25000,26000,31000,34000,37000,37000,39000,39000,39000
GET,/cpu_fixed,277,0,33000.0,31058.27769530693,17339.682699996047,52867.27260000043,66.3971119133574,1.5430652787012424,0.0,33000,34000,35000,37000,37000,39000,39000,52000,53000,53000,53000
,Aggregated,612,0,24000.0,25554.087333660063,5010.158600001887,52867.27260000043,60.66339869281046,3.40922725835798,0.0,24000,30000,33000,34000,37000,37000,39000,39000,53000,53000,53000
