Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,2256,1884,2000.0,6397.5808825354625,1661.0355999946478,122042.05179999553,10.05008865248227,12.567189159561435,10.494939883250773,2000,2000,2000,2100,9400,11000,120000,121000,122000,122000,122000
GET,/cpu_fixed,2157,1814,2009.6086999983527,6738.837214650024,2009.6086999983527,122909.33989999758,11.43439962911451,12.015703465059405,10.105000503299841,2000,2000,2000,2100,16000,19000,116000,120000,122000,123000,123000
,Aggregated,4413,3698,2000.0,6564.38122433721,1661.0355999946478,122909.33989999758,10.726716519374575,24.58289262462084,20.599940386550614,2000,2000,2000,2100,11000,18000,120000,120000,122000,123000,123000
