Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,357,0,9200.0,9699.823289635735,1242.9799000019557,17448.8141000038,55.924369747899156,2.004468299872837,0.0,9200,10000,11000,12000,14000,15000,15000,17000,17000,17000,17000
GET,/cpu_fixed,328,0,16000.0,14969.171384755959,467.97820000210777,20267.581699998118,65.8810975609756,1.8416403427403096,0.0,16000,16000,17000,17000,17000,18000,18000,20000,20000,20000,20000
,Aggregated,685,0,12000.0,12222.956392116674,467.97820000210777,20267.581699998118,60.691970802919705,3.8461086426131468,0.0,12000,15000,16000,16000,17000,17000,18000,18000,20000,20000,20000
