Method,Endpoint,Total_Requests,Failures,Error_Rate_%,RPS,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Median_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
GET,/cpu_fixed,328,0,0.0,1.83,14969.17,467.98,20267.58,16000.0,17000.0,18000.0,20000.0
GET,/cpu,359,0,0.0,2.0,9701.16,1242.98,17448.81,9200.0,14000.0,15000.0,17000.0
