Method,Endpoint,Total_Requests,Failures,Error_Rate_%,RPS,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Median_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
GET,/cpu_fixed,3403,3309,97.24,18.95,4028.46,2005.24,86918.95,2005.24,2000.0,2100.0,77000.0
GET,/cpu,3423,3323,97.08,19.06,4130.2,2007.58,87454.01,2007.58,2000.0,2100.0,77000.0
