Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,292,6,37000.0,39524.98153869872,2036.5171000012197,83793.07849999896,54.76027397260274,1.63240914665594,0.033542653698409725,37000,43000,47000,50000,59000,78000,83000,83000,84000,84000,84000
GET,/cpu_fixed,281,4,61000.0,61537.699252668805,2036.413400004676,113328.50119999785,65.83985765124555,1.5709142815421888,0.02236176913227315,61000,70000,70000,70000,73000,112000,112000,113000,113000,113000,113000
,Aggregated,573,10,48000.0,50320.04903891785,2036.413400004676,113328.50119999785,60.19371727748691,3.2033234281981287,0.05590442283068288,48000,59000,64000,70000,71000,83000,112000,112000,113000,113000,113000
