Method,Endpoint,Total_Requests,Failures,Error_Rate_%,RPS,Avg_Latency_ms,Min_Latency_ms,Max_Latency_ms,Median_Latency_ms,P90_Latency_ms,P95_Latency_ms,P99_Latency_ms
GET,/cpu,335,0,0.0,1.87,21002.86,5010.16,39074.89,21000.0,31000.0,34000.0,37000.0
GET,/cpu_fixed,277,0,0.0,1.54,31058.28,17339.68,52867.27,33000.0,37000.0,39000.0,52000.0
